year;iso;va_ag
2005;AFG;2266.793
2005;AGO;1870.8766
2005;ALB;1517.4352
2005;ARE;2520.4084
2005;ARG;15917.975
2005;AUS;20880.914
2005;AUT;3978.5356
2005;BDI;456.31973
2005;BEL;3374.8159
2005;BEN;1187.1713
2005;BFA;1927.9838
2005;BGD;11134.247
2005;BGR;2160.0103
2005;BHR;51.565479
2005;BHS;157.76788
2005;BLZ;148.27428
2005;BOL;1126.1008
2005;BRA;41471.395
2005;BRB;60.599998
2005;CAF;606.94659
2005;CAN;20039.924
2005;CHE;3520.199
2005;CHL;4637.4121
2005;CHN;273557.91
2005;CIV;3860.0435
2005;CMR;3157.7407
2005;COG;2858.6567
2005;COL;11323.084
2005;CRI;13.129822
2005;CUB;1962.7
2005;CYP;511.91083
2005;CZE;4589.9648
2005;DEU;19646.322
2005;DJI;22.602844
2005;DNK;3029.8938
2005;DOM;2560.9871
2005;DZA;7937.2969
2005;ECU;3935.3569
2005;EGY;12895.918
2005;ESP;31385.863
2005;ETH;5100.1323
2005;FIN;4665.9702
2005;FJI;355.51205
2005;FRA;37084.016
2005;GAB;477.47717
2005;GBR;14396.407
2005;GHA;5234.9634
2005;GIN;586.86584
2005;GMB;168.93777
2005;GNB;260.29251
2005;GNQ;130.51959
2005;GRC;10615.313
2005;GTM;3372.02
2005;GUY;310.96799
2005;HND;1216.7898
2005;HTI;919.27252
2005;HUN;4156.0859
2005;IDN;36419.297
2005;IND;145011.7
2005;IRL;2188.8796
2005;IRN;14724.358
2005;IRQ;3440.3247
2005;ISL;805.49634
2005;ISR;2226.7622
2005;ITA;37589.609
2005;JAM;583.13385
2005;JOR;347.25308
2005;JPN;57639.305
2005;KEN;4491.9692
2005;KHM;1932.5986
2005;KIR;22.754358
2005;KOR;25509.887
2005;KWT;243.15068
2005;LAO;934.14032
2005;LBN;765.5058
2005;LBR;404
2005;LBY;1106.3267
2005;LKA;2189.5635
2005;MAR;7366.8564
2005;MDG;1294.1022
2005;MEX;26436.949
2005;MLI;1959.5553
2005;MLT;123.90672
2005;MMR;5570.1743
2005;MNG;475.71545
2005;MOZ;1811.9268
2005;MRT;615.40326
2005;MUS;322.99039
2005;MWI;1203.3213
2005;MYS;11859.232
2005;NER;1430.2494
2005;NGA;46016.883
2005;NIC;1020.1289
2005;NLD;12144.953
2005;NOR;4334.9634
2005;NPL;2793.5405
2005;NZL;5182.8047
2005;OMN;502.43466
2005;PAK;26903.412
2005;PAN;1006.6
2005;PER;5214.7529
2005;PHL;13053.815
2005;PNG;1586.0133
2005;POL;8847.5186
2005;PRK;3259.2744
2005;PRT;4528.8911
2005;PRY;1579.1974
2005;QAT;59.343174
2005;ROM;8354.9756
2005;RWA;991.35455
2005;SDN;11606.399
2005;SEN;1272.2305
2005;SGP;70.175545
2005;SLE;815.20313
2005;SLV;1676.9701
2005;SOM;1222.1294
2005;SUN;60049.582
2005;SUR;233.36272
2005;SWE;3905.8818
2005;SYC;29.912701
2005;TCD;1720.7542
2005;TGO;828.55896
2005;THA;17413.668
2005;TTO;83.815399
2005;TUN;2959.2981
2005;TUR;45184.855
2005;TZA;5275.2388
2005;URY;1518.5264
2005;USA;128600
2005;VEN;5377.0068
2005;VNM;10795.482
2005;YEM;1807.6837
2005;YUG;7111.9741
2005;ZAF;6159.77
2005;ZMB;1215.4982
2005;ZWE;683.948
